,0
0,2.36
1,2.36
2,2.36
3,2.36
4,2.36
5,2.36
6,2.36
7,2.36
8,2.36
9,2.36
10,2.36
11,2.36
12,2.36
13,2.36
14,2.36
15,2.36
16,2.36
17,2.36
18,2.36
19,2.36
20,2.36
21,2.36
22,2.36
23,2.36
24,2.36
25,2.36
26,2.36
27,2.36
28,2.36
29,2.36
30,2.36
31,2.36
32,2.36
33,2.36
34,2.36
35,2.36
36,2.36
37,2.36
38,2.36
39,2.36
40,2.36
41,2.36
42,2.36
43,2.36
44,2.36
45,2.36
46,2.36
47,2.36
48,2.36
49,2.36
50,2.36
51,2.36
52,2.36
53,2.36
54,2.36
55,2.36
56,2.36
57,2.36
58,2.36
59,2.36
60,2.36
61,2.36
62,2.36
63,2.36
64,2.36
65,2.36
66,2.36
67,2.36
68,2.36
69,2.36
70,2.36
71,2.36
72,2.36
73,2.36
74,2.36
75,2.36
76,2.36
77,2.36
78,2.36
79,2.36
80,2.36
81,2.36
82,2.36
83,2.36
84,2.36
85,2.36
86,2.36
87,2.36
88,2.36
89,2.36
90,2.36
91,2.36
92,2.36
93,2.36
94,2.36
95,2.36
96,2.36
97,2.36
98,2.36
99,2.36
100,2.3
101,2.3
102,2.3
103,2.3
104,2.3
105,2.3
106,2.3
107,2.3
108,2.3
109,2.3
110,2.3
111,2.3
112,2.3
113,2.3
114,2.3
115,2.3
116,2.3
117,2.3
118,2.3
119,2.3
120,2.3
121,2.3
122,2.3
123,2.3
124,2.3
125,2.3
126,2.3
127,2.3
128,2.3
129,2.3
130,2.3
131,2.3
132,2.3
133,2.3
134,2.3
135,2.3
136,2.3
137,2.3
138,2.3
139,2.3
140,2.3
141,2.3
142,2.3
143,2.3
144,2.3
145,2.3
146,2.3
147,2.3
148,2.3
149,2.3
150,2.3
151,2.3
152,2.3
153,2.3
154,2.3
155,2.3
156,2.3
157,2.3
158,2.3
159,2.3
160,2.3
161,2.3
162,2.3
163,2.3
164,2.3
165,2.3
166,2.3
167,2.3
168,2.3
169,2.3
170,2.3
171,2.3
172,2.3
173,2.3
174,2.3
175,2.3
176,2.3
177,2.3
178,2.3
179,2.3
180,2.3
181,2.3
182,2.3
183,2.3
184,2.3
185,2.3
186,2.3
187,2.3
188,2.3
189,2.3
190,2.3
191,2.3
192,2.3
193,2.3
194,2.3
195,2.3
196,2.3
197,2.3
198,2.3
199,2.3
200,2.48
201,2.48
202,2.48
203,2.48
204,2.48
205,2.48
206,2.48
207,2.48
208,2.48
209,2.48
210,2.48
211,2.48
212,2.48
213,2.48
214,2.48
215,2.48
216,2.48
217,2.48
218,2.48
219,2.48
220,2.48
221,2.48
222,2.48
223,2.48
224,2.48
225,2.48
226,2.48
227,2.48
228,2.48
229,2.48
230,2.48
231,2.48
232,2.48
233,2.48
234,2.48
235,2.48
236,2.48
237,2.48
238,2.48
239,2.48
240,2.48
241,2.48
242,2.48
243,2.48
244,2.48
245,2.48
246,2.48
247,2.48
248,2.48
249,2.48
250,2.48
251,2.48
252,2.48
253,2.48
254,2.48
255,2.48
256,2.48
257,2.48
258,2.48
259,2.48
260,2.48
261,2.48
262,2.48
263,2.48
264,2.48
265,2.48
266,2.48
267,2.48
268,2.48
269,2.48
270,2.48
271,2.48
272,2.48
273,2.48
274,2.48
275,2.48
276,2.48
277,2.48
278,2.48
279,2.48
280,2.48
281,2.48
282,2.48
283,2.48
284,2.48
285,2.48
286,2.48
287,2.48
288,2.48
289,2.48
290,2.48
291,2.48
292,2.48
293,2.48
294,2.48
295,2.48
296,2.48
297,2.48
298,2.48
299,2.48
300,2.41
301,2.41
302,2.41
303,2.41
304,2.41
305,2.41
306,2.41
307,2.41
308,2.41
309,2.41
310,2.41
311,2.41
312,2.41
313,2.41
314,2.41
315,2.41
316,2.41
317,2.41
318,2.41
319,2.41
320,2.41
321,2.41
322,2.41
323,2.41
324,2.41
325,2.41
326,2.41
327,2.41
328,2.41
329,2.41
330,2.41
331,2.41
332,2.41
333,2.41
334,2.41
335,2.41
336,2.41
337,2.41
338,2.41
339,2.41
340,2.41
341,2.41
342,2.41
343,2.41
344,2.41
345,2.41
346,2.41
347,2.41
348,2.41
349,2.41
350,2.41
351,2.41
352,2.41
353,2.41
354,2.41
355,2.41
356,2.41
357,2.41
358,2.41
359,2.41
360,2.41
361,2.41
362,2.41
363,2.41
364,2.41
365,2.41
366,2.41
367,2.41
368,2.41
369,2.41
370,2.41
371,2.41
372,2.41
373,2.41
374,2.41
375,2.41
376,2.41
377,2.41
378,2.41
379,2.41
380,2.41
381,2.41
382,2.41
383,2.41
384,2.41
385,2.41
386,2.41
387,2.41
388,2.41
389,2.41
390,2.41
391,2.41
392,2.41
393,2.41
394,2.41
395,2.41
396,2.41
397,2.41
398,2.41
399,2.41
400,2.32
401,2.32
402,2.32
403,2.32
404,2.32
405,2.32
406,2.32
407,2.32
408,2.32
409,2.32
410,2.32
411,2.32
412,2.32
413,2.32
414,2.32
415,2.32
416,2.32
417,2.32
418,2.32
419,2.32
420,2.32
421,2.32
422,2.32
423,2.32
424,2.32
425,2.32
426,2.32
427,2.32
428,2.32
429,2.32
430,2.32
431,2.32
432,2.32
433,2.32
434,2.32
435,2.32
436,2.32
437,2.32
438,2.32
439,2.32
440,2.32
441,2.32
442,2.32
443,2.32
444,2.32
445,2.32
446,2.32
447,2.32
448,2.32
449,2.32
450,2.32
451,2.32
452,2.32
453,2.32
454,2.32
455,2.32
456,2.32
457,2.32
458,2.32
459,2.32
460,2.32
461,2.32
462,2.32
463,2.32
464,2.32
465,2.32
466,2.32
467,2.32
468,2.32
469,2.32
470,2.32
471,2.32
472,2.32
473,2.32
474,2.32
475,2.32
476,2.32
477,2.32
478,2.32
479,2.32
480,2.32
481,2.32
482,2.32
483,2.32
484,2.32
485,2.32
486,2.32
487,2.32
488,2.32
489,2.32
490,2.32
491,2.32
492,2.32
493,2.32
494,2.32
495,2.32
496,2.32
497,2.32
498,2.32
499,2.32
500,2.35
501,2.35
502,2.35
503,2.35
504,2.35
505,2.35
506,2.35
507,2.35
508,2.35
509,2.35
510,2.35
511,2.35
512,2.35
513,2.35
514,2.35
515,2.35
516,2.35
517,2.35
518,2.35
519,2.35
520,2.35
521,2.35
522,2.35
523,2.35
524,2.35
525,2.35
526,2.35
527,2.35
528,2.35
529,2.35
530,2.35
531,2.35
532,2.35
533,2.35
534,2.35
535,2.35
536,2.35
537,2.35
538,2.35
539,2.35
540,2.35
541,2.35
542,2.35
543,2.35
544,2.35
545,2.35
546,2.35
547,2.35
548,2.35
549,2.35
550,2.35
551,2.35
552,2.35
553,2.35
554,2.35
555,2.35
556,2.35
557,2.35
558,2.35
559,2.35
560,2.35
561,2.35
562,2.35
563,2.35
564,2.35
565,2.35
566,2.35
567,2.35
568,2.35
569,2.35
570,2.35
571,2.35
572,2.35
573,2.35
574,2.35
575,2.35
576,2.35
577,2.35
578,2.35
579,2.35
580,2.35
581,2.35
582,2.35
583,2.35
584,2.35
585,2.35
586,2.35
587,2.35
588,2.35
589,2.35
590,2.35
591,2.35
592,2.35
593,2.35
594,2.35
595,2.35
596,2.35
597,2.35
598,2.35
599,2.35
600,2.41
601,2.41
602,2.41
603,2.41
604,2.41
605,2.41
606,2.41
607,2.41
608,2.41
609,2.41
610,2.41
611,2.41
612,2.41
613,2.41
614,2.41
615,2.41
616,2.41
617,2.41
618,2.41
619,2.41
620,2.41
621,2.41
622,2.41
623,2.41
624,2.41
625,2.41
626,2.41
627,2.41
628,2.41
629,2.41
630,2.41
631,2.41
632,2.41
633,2.41
634,2.41
635,2.41
636,2.41
637,2.41
638,2.41
639,2.41
640,2.41
641,2.41
642,2.41
643,2.41
644,2.41
645,2.41
646,2.41
647,2.41
648,2.41
649,2.41
650,2.41
651,2.41
652,2.41
653,2.41
654,2.41
655,2.41
656,2.41
657,2.41
658,2.41
659,2.41
660,2.41
661,2.41
662,2.41
663,2.41
664,2.41
665,2.41
666,2.41
667,2.41
668,2.41
669,2.41
670,2.41
671,2.41
672,2.41
673,2.41
674,2.41
675,2.41
676,2.41
677,2.41
678,2.41
679,2.41
680,2.41
681,2.41
682,2.41
683,2.41
684,2.41
685,2.41
686,2.41
687,2.41
688,2.41
689,2.41
690,2.41
691,2.41
692,2.41
693,2.41
694,2.41
695,2.41
696,2.41
697,2.41
698,2.41
699,2.41
700,2.32
701,2.32
702,2.32
703,2.32
704,2.32
705,2.32
706,2.32
707,2.32
708,2.32
709,2.32
710,2.32
711,2.32
712,2.32
713,2.32
714,2.32
715,2.32
716,2.32
717,2.32
718,2.32
719,2.32
720,2.32
721,2.32
722,2.32
723,2.32
724,2.32
725,2.32
726,2.32
727,2.32
728,2.32
729,2.32
730,2.32
731,2.32
732,2.32
733,2.32
734,2.32
735,2.32
736,2.32
737,2.32
738,2.32
739,2.32
740,2.32
741,2.32
742,2.32
743,2.32
744,2.32
745,2.32
746,2.32
747,2.32
748,2.32
749,2.32
750,2.32
751,2.32
752,2.32
753,2.32
754,2.32
755,2.32
756,2.32
757,2.32
758,2.32
759,2.32
760,2.32
761,2.32
762,2.32
763,2.32
764,2.32
765,2.32
766,2.32
767,2.32
768,2.32
769,2.32
770,2.32
771,2.32
772,2.32
773,2.32
774,2.32
775,2.32
776,2.32
777,2.32
778,2.32
779,2.32
780,2.32
781,2.32
782,2.32
783,2.32
784,2.32
785,2.32
786,2.32
787,2.32
788,2.32
