,0
0,21.75
1,21.75
2,21.75
3,21.75
4,21.75
5,21.75
6,21.75
7,21.75
8,21.75
9,21.75
10,21.75
11,21.75
12,21.75
13,21.75
14,21.75
15,21.75
16,21.75
17,21.75
18,21.75
19,21.75
20,21.75
21,21.75
22,21.75
23,21.75
24,21.75
25,21.75
26,21.75
27,21.75
28,21.75
29,21.75
30,21.75
31,21.75
32,21.75
33,21.75
34,21.75
35,21.75
36,21.75
37,21.75
38,21.75
39,21.75
40,21.75
41,21.75
42,21.75
43,21.75
44,21.75
45,21.75
46,21.75
47,21.75
48,21.75
49,21.75
50,21.75
51,21.75
52,21.75
53,21.75
54,21.75
55,21.75
56,21.75
57,21.75
58,21.75
59,21.75
60,21.75
61,21.75
62,21.75
63,21.75
64,21.75
65,21.75
66,21.75
67,21.75
68,21.75
69,21.75
70,21.75
71,21.75
72,21.75
73,21.75
74,21.75
75,21.75
76,21.75
77,21.75
78,21.75
79,21.75
80,21.75
81,21.75
82,21.75
83,21.75
84,21.75
85,21.75
86,21.75
87,21.75
88,21.75
89,21.75
90,21.75
91,21.75
92,21.75
93,21.75
94,21.75
95,21.75
96,21.75
97,21.75
98,21.75
99,21.75
100,14.06
101,14.06
102,14.06
103,14.06
104,14.06
105,14.06
106,14.06
107,14.06
108,14.06
109,14.06
110,14.06
111,14.06
112,14.06
113,14.06
114,14.06
115,14.06
116,14.06
117,14.06
118,14.06
119,14.06
120,14.06
121,14.06
122,14.06
123,14.06
124,14.06
125,14.06
126,14.06
127,14.06
128,14.06
129,14.06
130,14.06
131,14.06
132,14.06
133,14.06
134,14.06
135,14.06
136,14.06
137,14.06
138,14.06
139,14.06
140,14.06
141,14.06
142,14.06
143,14.06
144,14.06
145,14.06
146,14.06
147,14.06
148,14.06
149,14.06
150,14.06
151,14.06
152,14.06
153,14.06
154,14.06
155,14.06
156,14.06
157,14.06
158,14.06
159,14.06
160,14.06
161,14.06
162,14.06
163,14.06
164,14.06
165,14.06
166,14.06
167,14.06
168,14.06
169,14.06
170,14.06
171,14.06
172,14.06
173,14.06
174,14.06
175,14.06
176,14.06
177,14.06
178,14.06
179,14.06
180,14.06
181,14.06
182,14.06
183,14.06
184,14.06
185,14.06
186,14.06
187,14.06
188,14.06
189,14.06
190,14.06
191,14.06
192,14.06
193,14.06
194,14.06
195,14.06
196,14.06
197,14.06
198,14.06
199,14.06
200,15.8
201,15.8
202,15.8
203,15.8
204,15.8
205,15.8
206,15.8
207,15.8
208,15.8
209,15.8
210,15.8
211,15.8
212,15.8
213,15.8
214,15.8
215,15.8
216,15.8
217,15.8
218,15.8
219,15.8
220,15.8
221,15.8
222,15.8
223,15.8
224,15.8
225,15.8
226,15.8
227,15.8
228,15.8
229,15.8
230,15.8
231,15.8
232,15.8
233,15.8
234,15.8
235,15.8
236,15.8
237,15.8
238,15.8
239,15.8
240,15.8
241,15.8
242,15.8
243,15.8
244,15.8
245,15.8
246,15.8
247,15.8
248,15.8
249,15.8
250,15.8
251,15.8
252,15.8
253,15.8
254,15.8
255,15.8
256,15.8
257,15.8
258,15.8
259,15.8
260,15.8
261,15.8
262,15.8
263,15.8
264,15.8
265,15.8
266,15.8
267,15.8
268,15.8
269,15.8
270,15.8
271,15.8
272,15.8
273,15.8
274,15.8
275,15.8
276,15.8
277,15.8
278,15.8
279,15.8
280,15.8
281,15.8
282,15.8
283,15.8
284,15.8
285,15.8
286,15.8
287,15.8
288,15.8
289,15.8
290,15.8
291,15.8
292,15.8
293,15.8
294,15.8
295,15.8
296,15.8
297,15.8
298,15.8
299,15.8
300,10.88
301,10.88
302,10.88
303,10.88
304,10.88
305,10.88
306,10.88
307,10.88
308,10.88
309,10.88
310,10.88
311,10.88
312,10.88
313,10.88
314,10.88
315,10.88
316,10.88
317,10.88
318,10.88
319,10.88
320,10.88
321,10.88
322,10.88
323,10.88
324,10.88
325,10.88
326,10.88
327,10.88
328,10.88
329,10.88
330,10.88
331,10.88
332,10.88
333,10.88
334,10.88
335,10.88
336,10.88
337,10.88
338,10.88
339,10.88
340,10.88
341,10.88
342,10.88
343,10.88
344,10.88
345,10.88
346,10.88
347,10.88
348,10.88
349,10.88
350,10.88
351,10.88
352,10.88
353,10.88
354,10.88
355,10.88
356,10.88
357,10.88
358,10.88
359,10.88
360,10.88
361,10.88
362,10.88
363,10.88
364,10.88
365,10.88
366,10.88
367,10.88
368,10.88
369,10.88
370,10.88
371,10.88
372,10.88
373,10.88
374,10.88
375,10.88
376,10.88
377,10.88
378,10.88
379,10.88
380,10.88
381,10.88
382,10.88
383,10.88
384,10.88
385,10.88
386,10.88
387,10.88
388,10.88
389,10.88
390,10.88
391,10.88
392,10.88
393,10.88
394,10.88
395,10.88
396,10.88
397,10.88
398,10.88
399,10.88
400,8.27
401,8.27
402,8.27
403,8.27
404,8.27
405,8.27
406,8.27
407,8.27
408,8.27
409,8.27
410,8.27
411,8.27
412,8.27
413,8.27
414,8.27
415,8.27
416,8.27
417,8.27
418,8.27
419,8.27
420,8.27
421,8.27
422,8.27
423,8.27
424,8.27
425,8.27
426,8.27
427,8.27
428,8.27
429,8.27
430,8.27
431,8.27
432,8.27
433,8.27
434,8.27
435,8.27
436,8.27
437,8.27
438,8.27
439,8.27
440,8.27
441,8.27
442,8.27
443,8.27
444,8.27
445,8.27
446,8.27
447,8.27
448,8.27
449,8.27
450,8.27
451,8.27
452,8.27
453,8.27
454,8.27
455,8.27
456,8.27
457,8.27
458,8.27
459,8.27
460,8.27
461,8.27
462,8.27
463,8.27
464,8.27
465,8.27
466,8.27
467,8.27
468,8.27
469,8.27
470,8.27
471,8.27
472,8.27
473,8.27
474,8.27
475,8.27
476,8.27
477,8.27
478,8.27
479,8.27
480,8.27
481,8.27
482,8.27
483,8.27
484,8.27
485,8.27
486,8.27
487,8.27
488,8.27
489,8.27
490,8.27
491,8.27
492,8.27
493,8.27
494,8.27
495,8.27
496,8.27
497,8.27
498,8.27
499,8.27
500,29.4
501,29.4
502,29.4
503,29.4
504,29.4
505,29.4
506,29.4
507,29.4
508,29.4
509,29.4
510,29.4
511,29.4
512,29.4
513,29.4
514,29.4
515,29.4
516,29.4
517,29.4
518,29.4
519,29.4
520,29.4
521,29.4
522,29.4
523,29.4
524,29.4
525,29.4
526,29.4
527,29.4
528,29.4
529,29.4
530,29.4
531,29.4
532,29.4
533,29.4
534,29.4
535,29.4
536,29.4
537,29.4
538,29.4
539,29.4
540,29.4
541,29.4
542,29.4
543,29.4
544,29.4
545,29.4
546,29.4
547,29.4
548,29.4
549,29.4
550,29.4
551,29.4
552,29.4
553,29.4
554,29.4
555,29.4
556,29.4
557,29.4
558,29.4
559,29.4
560,29.4
561,29.4
562,29.4
563,29.4
564,29.4
565,29.4
566,29.4
567,29.4
568,29.4
569,29.4
570,29.4
571,29.4
572,29.4
573,29.4
574,29.4
575,29.4
576,29.4
577,29.4
578,29.4
579,29.4
580,29.4
581,29.4
582,29.4
583,29.4
584,29.4
585,29.4
586,29.4
587,29.4
588,29.4
589,29.4
590,29.4
591,29.4
592,29.4
593,29.4
594,29.4
595,29.4
596,29.4
597,29.4
598,29.4
599,29.4
600,26.03
601,26.03
602,26.03
603,26.03
604,26.03
605,26.03
606,26.03
607,26.03
608,26.03
609,26.03
610,26.03
611,26.03
612,26.03
613,26.03
614,26.03
615,26.03
616,26.03
617,26.03
618,26.03
619,26.03
620,26.03
621,26.03
622,26.03
623,26.03
624,26.03
625,26.03
626,26.03
627,26.03
628,26.03
629,26.03
630,26.03
631,26.03
632,26.03
633,26.03
634,26.03
635,26.03
636,26.03
637,26.03
638,26.03
639,26.03
640,26.03
641,26.03
642,26.03
643,26.03
644,26.03
645,26.03
646,26.03
647,26.03
648,26.03
649,26.03
650,26.03
651,26.03
652,26.03
653,26.03
654,26.03
655,26.03
656,26.03
657,26.03
658,26.03
659,26.03
660,26.03
661,26.03
662,26.03
663,26.03
664,26.03
665,26.03
666,26.03
667,26.03
668,26.03
669,26.03
670,26.03
671,26.03
672,26.03
673,26.03
674,26.03
675,26.03
676,26.03
677,26.03
678,26.03
679,26.03
680,26.03
681,26.03
682,26.03
683,26.03
684,26.03
685,26.03
686,26.03
687,26.03
688,26.03
689,26.03
690,26.03
691,26.03
692,26.03
693,26.03
694,26.03
695,26.03
696,26.03
697,26.03
698,26.03
699,26.03
700,14.46
701,14.46
702,14.46
703,14.46
704,14.46
705,14.46
706,14.46
707,14.46
708,14.46
709,14.46
710,14.46
711,14.46
712,14.46
713,14.46
714,14.46
715,14.46
716,14.46
717,14.46
718,14.46
719,14.46
720,14.46
721,14.46
722,14.46
723,14.46
724,14.46
725,14.46
726,14.46
727,14.46
728,14.46
729,14.46
730,14.46
731,14.46
732,14.46
733,14.46
734,14.46
735,14.46
736,14.46
737,14.46
738,14.46
739,14.46
740,14.46
741,14.46
742,14.46
743,14.46
744,14.46
745,14.46
746,14.46
747,14.46
748,14.46
749,14.46
750,14.46
751,14.46
752,14.46
753,14.46
754,14.46
755,14.46
756,14.46
757,14.46
758,14.46
759,14.46
760,14.46
761,14.46
762,14.46
763,14.46
764,14.46
765,14.46
766,14.46
767,14.46
768,14.46
769,14.46
770,14.46
771,14.46
772,14.46
773,14.46
774,14.46
775,14.46
776,14.46
777,14.46
778,14.46
779,14.46
780,14.46
781,14.46
782,14.46
783,14.46
784,14.46
785,14.46
786,14.46
787,14.46
788,14.46
789,14.46
790,14.46
791,14.46
792,14.46
793,14.46
794,14.46
795,14.46
796,14.46
797,14.46
798,14.46
799,14.46
800,16.47
801,16.47
802,16.47
803,16.47
804,16.47
805,16.47
