,0
0,21.4
1,21.4
2,21.4
3,21.4
4,21.4
5,21.4
6,21.4
7,21.4
8,21.4
9,21.4
10,21.4
11,21.4
12,21.4
13,21.4
14,21.4
15,21.4
16,21.4
17,21.4
18,21.4
19,21.4
20,21.4
21,21.4
22,21.4
23,21.4
24,21.4
25,21.4
26,21.4
27,21.4
28,21.4
29,21.4
30,21.4
31,21.4
32,21.4
33,21.4
34,21.4
35,21.4
36,21.4
37,21.4
38,21.4
39,21.4
40,21.4
41,21.4
42,21.4
43,21.4
44,21.4
45,21.4
46,21.4
47,21.4
48,21.4
49,21.4
50,21.4
51,21.4
52,21.4
53,21.4
54,21.4
55,21.4
56,21.4
57,21.4
58,21.4
59,21.4
60,21.4
61,21.4
62,21.4
63,21.4
64,21.4
65,21.4
66,21.4
67,21.4
68,21.4
69,21.4
70,21.4
71,21.4
72,21.4
73,21.4
74,21.4
75,21.4
76,21.4
77,21.4
78,21.4
79,21.4
80,21.4
81,21.4
82,21.4
83,21.4
84,21.4
85,21.4
86,21.4
87,21.4
88,21.4
89,21.4
90,21.4
91,21.4
92,21.4
93,21.4
94,21.4
95,21.4
96,21.4
97,21.4
98,21.4
99,21.4
100,15.3
101,15.3
102,15.3
103,15.3
104,15.3
105,15.3
106,15.3
107,15.3
108,15.3
109,15.3
110,15.3
111,15.3
112,15.3
113,15.3
114,15.3
115,15.3
116,15.3
117,15.3
118,15.3
119,15.3
120,15.3
121,15.3
122,15.3
123,15.3
124,15.3
125,15.3
126,15.3
127,15.3
128,15.3
129,15.3
130,15.3
131,15.3
132,15.3
133,15.3
134,15.3
135,15.3
136,15.3
137,15.3
138,15.3
139,15.3
140,15.3
141,15.3
142,15.3
143,15.3
144,15.3
145,15.3
146,15.3
147,15.3
148,15.3
149,15.3
150,15.3
151,15.3
152,15.3
153,15.3
154,15.3
155,15.3
156,15.3
157,15.3
158,15.3
159,15.3
160,15.3
161,15.3
162,15.3
163,15.3
164,15.3
165,15.3
166,15.3
167,15.3
168,15.3
169,15.3
170,15.3
171,15.3
172,15.3
173,15.3
174,15.3
175,15.3
176,15.3
177,15.3
178,15.3
179,15.3
180,15.3
181,15.3
182,15.3
183,15.3
184,15.3
185,15.3
186,15.3
187,15.3
188,15.3
189,15.3
190,15.3
191,15.3
192,15.3
193,15.3
194,15.3
195,15.3
196,15.3
197,15.3
198,15.3
199,15.3
200,19.8
201,19.8
202,19.8
203,19.8
204,19.8
205,19.8
206,19.8
207,19.8
208,19.8
209,19.8
210,19.8
211,19.8
212,19.8
213,19.8
214,19.8
215,19.8
216,19.8
217,19.8
218,19.8
219,19.8
220,19.8
221,19.8
222,19.8
223,19.8
224,19.8
225,19.8
226,19.8
227,19.8
228,19.8
229,19.8
230,19.8
231,19.8
232,19.8
233,19.8
234,19.8
235,19.8
236,19.8
237,19.8
238,19.8
239,19.8
240,19.8
241,19.8
242,19.8
243,19.8
244,19.8
245,19.8
246,19.8
247,19.8
248,19.8
249,19.8
250,19.8
251,19.8
252,19.8
253,19.8
254,19.8
255,19.8
256,19.8
257,19.8
258,19.8
259,19.8
260,19.8
261,19.8
262,19.8
263,19.8
264,19.8
265,19.8
266,19.8
267,19.8
268,19.8
269,19.8
270,19.8
271,19.8
272,19.8
273,19.8
274,19.8
275,19.8
276,19.8
277,19.8
278,19.8
279,19.8
280,19.8
281,19.8
282,19.8
283,19.8
284,19.8
285,19.8
286,19.8
287,19.8
288,19.8
289,19.8
290,19.8
291,19.8
292,19.8
293,19.8
294,19.8
295,19.8
296,19.8
297,19.8
298,19.8
299,19.8
300,15.3
301,15.3
302,15.3
