,0
0,4.14
1,4.14
2,4.14
3,4.14
4,4.14
5,4.14
6,4.14
7,4.14
8,4.14
9,4.14
10,4.14
11,4.14
12,4.14
13,4.14
14,4.14
15,4.14
16,4.14
17,4.14
18,4.14
19,4.14
20,4.14
21,4.14
22,4.14
23,4.14
24,4.14
25,4.14
26,4.14
27,4.14
28,4.14
29,4.14
30,4.14
31,4.14
32,4.14
33,4.14
34,4.14
35,4.14
36,4.14
37,4.14
38,4.14
39,4.14
40,4.14
41,4.14
42,4.14
43,4.14
44,4.14
45,4.14
46,4.14
47,4.14
48,4.14
49,4.14
50,4.14
51,4.14
52,4.14
53,4.14
54,4.14
55,4.14
56,4.14
57,4.14
58,4.14
59,4.14
60,4.14
61,4.14
62,4.14
63,4.14
64,4.14
65,4.14
66,4.14
67,4.14
68,4.14
69,4.14
70,4.14
71,4.14
72,4.14
73,4.14
74,4.14
75,4.14
76,4.14
77,4.14
78,4.14
79,4.14
80,4.14
81,4.14
82,4.14
83,4.14
84,4.14
85,4.14
86,4.14
87,4.14
88,4.14
89,4.14
90,4.14
91,4.14
92,4.14
93,4.14
94,4.14
95,4.14
96,4.14
97,4.14
98,4.14
99,4.14
100,4.94
101,4.94
102,4.94
103,4.94
104,4.94
105,4.94
106,4.94
107,4.94
108,4.94
109,4.94
110,4.94
111,4.94
112,4.94
113,4.94
114,4.94
115,4.94
116,4.94
117,4.94
118,4.94
119,4.94
120,4.94
121,4.94
122,4.94
123,4.94
124,4.94
125,4.94
126,4.94
127,4.94
128,4.94
129,4.94
130,4.94
131,4.94
132,4.94
133,4.94
134,4.94
135,4.94
136,4.94
137,4.94
138,4.94
139,4.94
140,4.94
141,4.94
142,4.94
143,4.94
144,4.94
145,4.94
146,4.94
147,4.94
148,4.94
149,4.94
150,4.94
151,4.94
152,4.94
153,4.94
154,4.94
155,4.94
156,4.94
157,4.94
158,4.94
159,4.94
160,4.94
161,4.94
162,4.94
163,4.94
164,4.94
165,4.94
166,4.94
167,4.94
168,4.94
169,4.94
170,4.94
171,4.94
172,4.94
173,4.94
174,4.94
175,4.94
176,4.94
177,4.94
178,4.94
179,4.94
180,4.94
181,4.94
182,4.94
183,4.94
184,4.94
185,4.94
186,4.94
187,4.94
188,4.94
189,4.94
190,4.94
191,4.94
192,4.94
193,4.94
194,4.94
195,4.94
196,4.94
197,4.94
198,4.94
199,4.94
200,5.18
201,5.18
202,5.18
203,5.18
204,5.18
205,5.18
206,5.18
207,5.18
208,5.18
209,5.18
210,5.18
211,5.18
212,5.18
213,5.18
214,5.18
215,5.18
216,5.18
217,5.18
218,5.18
219,5.18
220,5.18
221,5.18
222,5.18
223,5.18
224,5.18
225,5.18
226,5.18
227,5.18
228,5.18
229,5.18
230,5.18
231,5.18
232,5.18
233,5.18
234,5.18
235,5.18
236,5.18
237,5.18
238,5.18
239,5.18
240,5.18
241,5.18
242,5.18
243,5.18
244,5.18
245,5.18
246,5.18
247,5.18
248,5.18
249,5.18
250,5.18
251,5.18
252,5.18
253,5.18
254,5.18
255,5.18
256,5.18
257,5.18
258,5.18
259,5.18
260,5.18
261,5.18
262,5.18
263,5.18
264,5.18
265,5.18
266,5.18
267,5.18
268,5.18
269,5.18
270,5.18
271,5.18
272,5.18
273,5.18
274,5.18
275,5.18
276,5.18
277,5.18
278,5.18
279,5.18
280,5.18
281,5.18
282,5.18
283,5.18
284,5.18
285,5.18
286,5.18
287,5.18
288,5.18
289,5.18
290,5.18
291,5.18
292,5.18
293,5.18
294,5.18
295,5.18
296,5.18
297,5.18
298,5.18
299,5.18
300,4.58
301,4.58
302,4.58
303,4.58
304,4.58
305,4.58
306,4.58
307,4.58
308,4.58
309,4.58
310,4.58
311,4.58
312,4.58
313,4.58
314,4.58
315,4.58
316,4.58
317,4.58
318,4.58
319,4.58
320,4.58
321,4.58
322,4.58
323,4.58
324,4.58
325,4.58
326,4.58
327,4.58
328,4.58
329,4.58
330,4.58
331,4.58
332,4.58
333,4.58
334,4.58
335,4.58
336,4.58
337,4.58
338,4.58
339,4.58
340,4.58
341,4.58
342,4.58
343,4.58
344,4.58
345,4.58
346,4.58
347,4.58
348,4.58
349,4.58
350,4.58
351,4.58
352,4.58
353,4.58
354,4.58
355,4.58
356,4.58
357,4.58
358,4.58
359,4.58
360,4.58
361,4.58
362,4.58
363,4.58
364,4.58
365,4.58
366,4.58
367,4.58
368,4.58
369,4.58
370,4.58
371,4.58
372,4.58
373,4.58
374,4.58
375,4.58
376,4.58
